12:35:29 | INFO     | models.model_transfer_function | __post_init__:332 | ================================================================================
12:35:29 | INFO     | models.model_transfer_function | __post_init__:332 |                      Initializing TransferFunctionModel(Gp)                     
12:35:29 | INFO     | models.model_transfer_function | __post_init__:332 | ================================================================================
12:35:29 | INFO     | models.model_transfer_function | define_tf_name:544 | ╭─ TransferFunctionModel(Gp): Defining tf_name as Gp ─╮---------------------------
12:35:29 | INFO     | models.model_transfer_function | define_input:480 | ╭─ TransferFunctionModel(Gp): Defining input as u ─╮------------------------------
12:35:29 | INFO     | models.model_transfer_function | define_output:512 | ╭─ TransferFunctionModel(Gp): Defining output as y ─╮-----------------------------
12:35:29 | INFO     | models.model_transfer_function | __post_init__:344 | ╭─ TransferFunctionModel(Gp): Initializing symbolic and numeric representations ─╮
12:35:29 | DEBUG    | models.model_transfer_function | symbolic:142 | --- TransferFunctionModel(Gp): symbolic.setter triggered -------------------------
12:35:29 | DEBUG    | models.model_transfer_function | symbolic:143 | TransferFunctionModel(Gp): Setting new_tf_symbolic = 1
12:35:29 | DEBUG    | models.model_transfer_function | symbolic:152 | TransferFunctionModel(Gp): new_tf_symbolic is identical to self._num_symboliceric = 1
12:35:29 | DEBUG    | models.model_transfer_function | symbolic:153 | TransferFunctionModel(Gp): Skipping update of symbolic representations
12:35:29 | DEBUG    | models.model_transfer_function | numeric:209 | --- TransferFunctionModel(Gp): numeric.setter triggered --------------------------
12:35:29 | DEBUG    | models.model_transfer_function | numeric:210 | TransferFunctionModel(Gp): Setting new_tf_numeric = 1
12:35:29 | DEBUG    | models.model_transfer_function | numeric:219 | TransferFunctionModel(Gp): new_tf_numeric is identical to self._numeric = 1
12:35:29 | DEBUG    | models.model_transfer_function | numeric:220 | TransferFunctionModel(Gp): Skipping update of numeric representations
12:35:29 | INFO     | models.model_transfer_function | define_input:480 | ╭─ TransferFunctionModel(Gp): Defining input as f ─╮------------------------------
12:35:29 | INFO     | models.model_transfer_function | define_output:512 | ╭─ TransferFunctionModel(Gp): Defining output as x ─╮-----------------------------
12:35:29 | INFO     | models.model_transfer_function | add_constant:621 | ╭─ TransferFunctionModel(Gp): Adding constant a = 1 [-] ─╮------------------------
12:35:29 | INFO     | models.model_transfer_function | add_constant:621 | ╭─ TransferFunctionModel(Gp): Adding constant K = 1 [-] ─╮------------------------
12:35:29 | INFO     | models.model_transfer_function | add_constant:621 | ╭─ TransferFunctionModel(Gp): Adding constant w_n = 0.1 [rad/s] ─╮----------------
12:35:29 | INFO     | models.model_transfer_function | add_constant:621 | ╭─ TransferFunctionModel(Gp): Adding constant zeta = 0.1 [-] ─╮-------------------
12:35:29 | INFO     | models.model_transfer_function | __post_init__:332 | ================================================================================
12:35:29 | INFO     | models.model_transfer_function | __post_init__:332 |                     Initializing TransferFunctionModel(Gp2)                     
12:35:29 | INFO     | models.model_transfer_function | __post_init__:332 | ================================================================================
12:35:29 | INFO     | models.model_transfer_function | define_tf_name:544 | ╭─ TransferFunctionModel(Gp2): Defining tf_name as Gp2 ─╮-------------------------
12:35:29 | INFO     | models.model_transfer_function | define_input:480 | ╭─ TransferFunctionModel(Gp2): Defining input as u ─╮-----------------------------
12:35:29 | INFO     | models.model_transfer_function | define_output:512 | ╭─ TransferFunctionModel(Gp2): Defining output as y ─╮----------------------------
12:35:29 | INFO     | models.model_transfer_function | __post_init__:344 | ╭─ TransferFunctionModel(Gp2): Initializing symbolic and numeric representations ─╮
12:35:29 | DEBUG    | models.model_transfer_function | symbolic:142 | --- TransferFunctionModel(Gp2): symbolic.setter triggered ------------------------
12:35:29 | DEBUG    | models.model_transfer_function | symbolic:143 | TransferFunctionModel(Gp2): Setting new_tf_symbolic = 1
12:35:29 | DEBUG    | models.model_transfer_function | symbolic:152 | TransferFunctionModel(Gp2): new_tf_symbolic is identical to self._num_symboliceric = 1
12:35:29 | DEBUG    | models.model_transfer_function | symbolic:153 | TransferFunctionModel(Gp2): Skipping update of symbolic representations
12:35:29 | DEBUG    | models.model_transfer_function | numeric:209 | --- TransferFunctionModel(Gp2): numeric.setter triggered -------------------------
12:35:29 | DEBUG    | models.model_transfer_function | numeric:210 | TransferFunctionModel(Gp2): Setting new_tf_numeric = 1
12:35:29 | DEBUG    | models.model_transfer_function | numeric:219 | TransferFunctionModel(Gp2): new_tf_numeric is identical to self._numeric = 1
12:35:29 | DEBUG    | models.model_transfer_function | numeric:220 | TransferFunctionModel(Gp2): Skipping update of numeric representations
12:35:29 | INFO     | models.model_transfer_function | define_tf:746 | ================================================================================
12:35:29 | INFO     | models.model_transfer_function | define_tf:746 |              TransferFunctionModel(Gp): Defining transfer function              
12:35:29 | INFO     | models.model_transfer_function | define_tf:746 | ================================================================================
12:35:29 | INFO     | models.model_transfer_function | define_tf:752 | ╭─ TransferFunctionModel(Gp): From string K*w_n**2/(s**2+2*zeta*w_n*s+w_n**2) ─╮--
12:35:29 | DEBUG    | utilities.utils_transfer_function | from_string:202 | from_string() called with tf_str: K*w_n**2/(s**2+2*zeta*w_n*s+w_n**2)
12:35:29 | DEBUG    | utilities.utils_transfer_function | from_string:216 | from_string(): Translated string: 'K*w_n**2/(s**2+2*zeta*w_n*s+w_n**2)'
12:35:29 | DEBUG    | utilities.utils_transfer_function | from_string:235 | from_string(): Successfully defined transfer function: K*w_n**2/(s**2 + 2*s*w_n*zeta + w_n**2)
12:35:29 | DEBUG    | models.model_transfer_function | symbolic:142 | --- TransferFunctionModel(Gp): symbolic.setter triggered -------------------------
12:35:29 | DEBUG    | models.model_transfer_function | symbolic:143 | TransferFunctionModel(Gp): Setting new_tf_symbolic = K*w_n**2/(s**2 + 2*s*w_n*zeta + w_n**2)
12:35:29 | INFO     | models.model_transfer_function | symbolic:158 | TransferFunctionModel(Gp): self._symbolic = K*w_n**2/(s**2 + 2*s*w_n*zeta + w_n**2)
12:35:29 | DEBUG    | models.model_transfer_function | symbolic:161 | --- TransferFunctionModel(Gp): Updating symbolic representations -----------------
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_numerator:101 | get_numerator() called with tf: K*w_n**2/(s**2 + 2*s*w_n*zeta + w_n**2)
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_numerator:111 | get_numerator(): Extracted numerator: K*w_n**2
12:35:29 | DEBUG    | models.model_transfer_function | symbolic:162 | TransferFunctionModel(Gp): Successfully updated self.numerator.symbolic
12:35:29 | DEBUG    | models.model_polynomium | symbolic:50 | --- Updating symbolic coefficients -----------------------------------------------
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_coefficients:79 | get_coefficients() called with polynomium: K*w_n**2
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_coefficients:94 | get_coefficients(): Extracted coefficients: [K*w_n**2]
12:35:29 | DEBUG    | models.model_polynomium | symbolic:52 | --- End of updating symbolic coefficients ----------------------------------------
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_denominator:118 | get_denominator() called with tf: K*w_n**2/(s**2 + 2*s*w_n*zeta + w_n**2)
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_denominator:128 | get_denominator(): Extracted denominator: s**2 + 2*s*w_n*zeta + w_n**2
12:35:29 | DEBUG    | models.model_transfer_function | symbolic:168 | TransferFunctionModel(Gp): Successfully updated self.denominator.symbolic
12:35:29 | DEBUG    | models.model_polynomium | symbolic:50 | --- Updating symbolic coefficients -----------------------------------------------
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_coefficients:79 | get_coefficients() called with polynomium: s**2 + 2*s*w_n*zeta + w_n**2
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_coefficients:94 | get_coefficients(): Extracted coefficients: [1.0, 2*w_n*zeta, w_n**2]
12:35:29 | DEBUG    | models.model_polynomium | symbolic:52 | --- End of updating symbolic coefficients ----------------------------------------
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_zeros:58 | get_zeros() called with tf: K*w_n**2/(s**2 + 2*s*w_n*zeta + w_n**2)
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_numerator:101 | get_numerator() called with tf: K*w_n**2/(s**2 + 2*s*w_n*zeta + w_n**2)
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_numerator:111 | get_numerator(): Extracted numerator: K*w_n**2
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_zeros:72 | get_zeros(): Found zeros: []
12:35:29 | DEBUG    | models.model_transfer_function | symbolic:174 | TransferFunctionModel(Gp): Successfully updated self.zeros.symbolic
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_poles:36 | get_poles() called with tf: K*w_n**2/(s**2 + 2*s*w_n*zeta + w_n**2)
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_denominator:118 | get_denominator() called with tf: K*w_n**2/(s**2 + 2*s*w_n*zeta + w_n**2)
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_denominator:128 | get_denominator(): Extracted denominator: s**2 + 2*s*w_n*zeta + w_n**2
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_poles:51 | get_poles(): Found poles: [w_n*(-zeta - sqrt((zeta - 1)*(zeta + 1))), w_n*(-zeta + sqrt((zeta - 1)*(zeta + 1)))]
12:35:29 | DEBUG    | models.model_transfer_function | symbolic:180 | TransferFunctionModel(Gp): Successfully updated self.poles.symbolic
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_differential_equation:135 | get_differential_equation() called with tf: K*w_n**2/(s**2 + 2*s*w_n*zeta + w_n**2)
12:35:29 | DEBUG    | utilities.utils_transfer_function | get_differential_equation:163 | get_differential_equation(): Derived equation: Eq(w_n**2*x(t) + 2*w_n*zeta*Derivative(x(t), t) + Derivative(x(t), (t, 2)), K*w_n**2*f(t))
12:35:29 | DEBUG    | models.model_transfer_function | symbolic:186 | TransferFunctionModel(Gp): Successfully updated self.differential_equation.symbolic
